cell,temperature_sensor_pcb_ref,sensor_part,mux_pcb_ref,mux_input,mux_channel,mux_enable_control,enable_pullup,adc_path,status
C1,U5,TC1047,U10,Y0,0,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C2,U6,TC1047,U10,Y1,1,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C3,U7,TC1047,U10,Y2,2,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C4,U8,TC1047,U10,Y3,3,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C5,U16,TC1047,U10,Y4,4,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C6,U17,TC1047,U10,Y5,5,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C7,U18,TC1047,U10,Y6,6,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C8,U19,TC1047,U10,Y7,7,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C9,U24,TC1047,U10,Y8,8,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C10,U25,TC1047,U10,Y9,9,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C11,U26,TC1047,U10,Y10,10,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C12,U27,TC1047,U10,Y11,11,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C13,U32,TC1047,U10,Y12,12,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C14,U33,TC1047,U10,Y13,13,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C15,U34,TC1047,U10,Y14,14,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
C16,U35,TC1047,U10,Y15,15,IC25 PCF8574 P0 pin4 active-low,R4 10k to VCC,U10 Z to ESP8266 A0,confirmed_working
